path,encoding,utf8_valid,bom,mojibake,replacement_character,newline_style,status,detail
builder/tests/test_template_doctor.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_history.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_integrity.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_integrity_doctor.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_integrity_history.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_state.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_update.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_update_history.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_update_rollback.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_versions.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_audit_c.py,UTF-8,True,False,False,False,MIXED,COMPLIANT,ok
builder/tests/test_version_bundles.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_catalog.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_export_import.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_extensions.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_history.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_lifecycle.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_observability.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_version_package.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
